,Image,F1,Jaccard,Recall,Precision
101,archive\images\21.png,0.9338023664854493,0.8758248350329934,0.9931972789115646,0.8811104405552203
102,archive\images\26.png,0.8314606741573034,0.7115384615384616,1.0,0.7115384615384616
103,archive\images\2405.png,0.9017681728880157,0.8211091234347049,0.8429752066115702,0.9693769799366421
104,archive\images\335.png,0.9238210399032648,0.8584269662921349,0.8741418764302059,0.9794871794871794
105,archive\images\893.png,0.9461206896551724,0.8977505112474438,0.977728285077951,0.9164926931106472
106,archive\images\2606.png,0.7861482381530984,0.6476476476476476,0.80099040544723,0.7718461079630182
107,archive\images\11.png,0.9641611163970821,0.9308022045315371,0.9857328145265889,0.9435133457479826
108,archive\images\2980.png,0.9430255402750491,0.8921933085501859,0.9022556390977443,0.9876543209876543
109,archive\images\3011.png,0.0,0.0,0.0,0.0
110,archive\images\717.png,0.5544907510586138,0.38359543632439097,0.38359543632439097,1.0
111,archive\images\277.png,0.9836580766813325,0.9678416821273964,0.9867591424968474,0.9805764411027569
112,archive\images\2979.png,0.9648682559598495,0.9321212121212121,0.9540942928039702,0.9758883248730964
113,archive\images\2275.png,0.8680184987548915,0.7668133249528598,0.7721518987341772,0.9910641754670999
114,archive\images\1866.png,0.5452627136526693,0.37481868291267767,0.37481868291267767,1.0
115,archive\images\1344.png,0.9302325581395349,0.8695652173913043,0.9090909090909091,0.9523809523809523
116,archive\images\2137.png,0.8610846812559467,0.7560568086883876,0.7754927163667523,0.9679144385026738
117,archive\images\2072.png,0.5632033499084009,0.39198542805100184,0.8877887788778878,0.41241855116903026
118,archive\images\1137.png,0.9207547169811321,0.8531468531468531,0.8606701940035273,0.9898580121703854
119,archive\images\1906.png,0.9404539385847797,0.8876008064516129,0.9162330905306972,0.965990126165661
120,archive\images\1495.png,0.9543026706231454,0.9125993189557321,0.9436619718309859,0.9651860744297719
121,archive\images\694.png,0.9103291713961408,0.8354166666666667,0.9134396355353075,0.9072398190045249
122,archive\images\336.png,0.9665158371040724,0.9352014010507881,0.9484902309058615,0.985239852398524
123,archive\images\1560.png,0.9472527472527472,0.8997912317327766,0.9685393258426966,0.9268817204301075
124,archive\images\1546.png,0.954228855721393,0.9124643196955281,0.9927536231884058,0.9185823754789272
125,archive\images\1969.png,0.6770708283313326,0.5117967332123412,0.990632318501171,0.5142857142857142
126,archive\images\2459.png,0.9498031496062992,0.9044048734770385,0.9299710889816897,0.9704994971505196
127,archive\images\587.png,0.9718706047819972,0.945280437756498,0.96105702364395,0.9829302987197724
128,archive\images\2662.png,0.6292481977342945,0.459053343350864,0.4876296887470072,0.8867924528301887
129,archive\images\2930.png,0.8828264758497316,0.7902321857485989,0.9989878542510121,0.7908653846153846
130,archive\images\943.png,0.9513381995133819,0.9071925754060325,0.9490291262135923,0.9536585365853658
131,archive\images\1794.png,0.9235294117647059,0.8579234972677595,0.8870056497175142,0.9631901840490797
132,archive\images\3043.png,0.3801125703564728,0.23465369469539032,0.9960668633235005,0.23487131926733132
133,archive\images\2380.png,0.8541788427819988,0.7454730935985718,0.7519938255724209,0.9885018599932364
134,archive\images\126.png,0.9514893617021276,0.9074675324675324,0.9704861111111112,0.9332220367278798
135,archive\images\1147.png,0.9459172852598091,0.89738430583501,0.9802197802197802,0.9139344262295082
136,archive\images\1883.png,0.8430813124108416,0.7287299630086314,0.7287299630086314,1.0
137,archive\images\2176.png,0.8470678420850901,0.7347074468085106,0.8680282796543598,0.8270958083832335
138,archive\images\2304.png,0.8252390057361376,0.7024739583333334,0.7084701247537755,0.9880952380952381
139,archive\images\369.png,0.9146919431279621,0.8427947598253275,0.8654708520179372,0.9698492462311558
140,archive\images\2228.png,0.0,0.0,0.0,0.0
141,archive\images\2114.png,0.9356435643564357,0.8790697674418605,0.9969856819894499,0.8814123917388408
142,archive\images\451.png,0.95625,0.9161676646706587,0.918,0.9978260869565218
143,archive\images\1916.png,0.5980234428866927,0.42655737704918034,0.42655737704918034,1.0
144,archive\images\2349.png,0.17915904936014626,0.09839357429718876,0.09839357429718876,1.0
145,archive\images\2530.png,0.6128205128205129,0.4417744916820702,0.8475177304964538,0.4799196787148594
146,archive\images\1419.png,0.940809968847352,0.888235294117647,0.9837133550488599,0.9014925373134328
147,archive\images\86.png,0.9171457558336151,0.8469706433479075,0.9811866859623734,0.8609523809523809
148,archive\images\2725.png,0.8976645435244162,0.8143297380585516,0.9424877396344182,0.8569112282124037
149,archive\images\1013.png,0.8943894389438944,0.808955223880597,0.9033333333333333,0.8856209150326797
150,archive\images\777.png,0.7342874922215308,0.5801376597836775,0.9204368174726989,0.6107660455486542
151,archive\images\2995.png,0.6176226101413134,0.44678292242934453,0.6150662251655629,0.6202003338898163
